Foxx	NC	N00026166
Frankel	FL	N00002893
Franks	AZ	N00006423
Freeman	FL	N00035223
Frelinghuysen	NJ	N00000684
Fudge	OH	N00030490
Gabbard	HI	N00033281
Galdo	VA	N00033934
Gallagher	NY	N00037166
Gallego	AZ	N00036097
Galloway	IN	N00037184
Gandolfo	NJ	N00035624
Garamendi	CA	N00030856
Garrett	NJ	N00000743
Gaskins	KY	N00036716
Gentile	NY	N00037000
Gibbs	OH	N00031128
Giles	AZ	N00036982
Gill	IL	N00026221
Glen	NC	N00028277
Glenn	COS	N00036919
Gohmert	TX	N00026148
Gonzales	TX	N00036950
Goodlatte	VA	N00009154
Gosar	AZ	N00030771
Gottheimer	NJ	N00036944
Gowdy	SC	N00030880
Gradert	NH	N00037050
Graham	FL	N00035688
Graham	None	N00009975
Granger	TX	N00008799
Grant	IN	N00036123
Grassley	IAS	N00001758
Graves	LA	N00036135
Graves	MO	N00013323
Graves	GA	N00030788
Grayson	FL	N00028418
Grayson	GAS	N00035476
Green	TX	N00026686
Green	TX	N00005870
Gregory	NY	N00037192
Griffith	VA	N00032029
Grijalva	AZ	N00025284
Grisham	NM	N00029400
Grothman	WI	N00036409
Guinta	NH	N00030801
Guthrie	KY	N00029675
Gutierrez	IL	N00004874
Gutzeit	CA	N00037176
Hagan	OHS	N00012485
Hall	CA	N00033277
Hanna	NY	N00030197
Hardy	NV	N00035628
Harper	MS	N00029632
Harrington	TX	N00037194
Harris	MD	N00029147
Harris	CAS	N00036915
Hartzler	MO	N00031005
Hastings	FL	N00002884
Heck	WA	N00031557
Heck	NV	N00031244
Hensarling	TX	N00024922
Herrera Beutler	WA	N00031559
Hice	GA	N00032243
Higgins	NY	N00027060
Hill	AR	N00035792
Himes	CT	N00029070
Hinojosa	TX	N00006008
Hoeven	NDS	N00031688
Holcomb	INS	N00037159
Holding	NC	N00033399
Holliday	MS	N00037044
Honda	CA	N00012611
House	CAS	N00036914
Howard	CAS	N00037002
Hoyer	MD	N00001821
Huckabee	None	N00007539
Hudson	NC	N00033630
Huelskamp	KS	N00027649
Huffman	CA	N00033030
Huizenga	MI	N00030673
Hultgren	IL	N00031104
Hunter	CA	N00029258
Hurd	TX	N00031417
Hurt	VA	N00031265
Isakson	GAS	N00002593
Israel	NY	N00013345
Issa	CA	N00007017
Ivey	MD	N00033749
Izzo	DE	N00031603
Jackson Lee	TX	N00005818
Jacobson	IL	N00037182
Jawando	MD	N00037037
Jeffries	NY	N00033640
Jenkins	WV	N00035531
Jenkins	KS	N00029077
Johnson	OH	N00032088
Johnson	TX	N00008122
Johnson	GA	N00027848
Johnson	WIS	N00032546
Johnson	TX	N00008028
Jolly	FL	N00035717
Jones	FLS	N00035791
Jones	MS	N00036992
Jones	NC	N00002299
Jordan	OH	N00027894
Joyce	OH	N00035007
Kalemkarian	CAS	N00006887
Kander	MOS	N00036922
Kaptur	OH	N00003522
Katko	NY	N00035934
Kaufman	FL	N00033516
Keating	MA	N00031933
Keith	FLS	N00036907
Kelly	PA	N00031647
Kelly	IL	N00035215
Kelly	MS	N00037003
Kennedy	MA	N00034044
Keyes	ILS	N00001885
Khouri	IL	N00037029
Kiehne	AZ	N00035555
Kildee	MI	N00033395
Kilmer	WA	N00034453
Kind	WI	N00004403
King	NY	N00001193
King	IA	N00025237
Kinlaw	COS	N00037174
Kinzinger	IL	N00030667
Kirk	ILS	N00012539
Kirkpatrick	AZS	N00029260
