dwn0,dwn1
-0.466,0.092
0.781,0.209
0.382,0.318
0.776,0.362
-0.431,-0.04
0.811,0.184
0.667,-0.081
0.441,0.603
0.976,-0.217
-0.304,-0.344
-0.382,-0.068
0.848,-0.108
0.956,0.12
0.511,0.427
0.71,0.28
