Courtney	 Joe	CT	D	N00024842
Cozad	 David	TX	D	N00031142
Crabtree	 Valleri	FL	D	N00036906
Craig	 Angie	MN	D	N00037039
Cramer	 Kevin	ND	R	N00004614
Cramer	 Robert	IA	R	N00035868
Crapo	 Mike	ID	R	N00006267
Crawford	 Rick	AR	R	N00030770
Crenshaw	 Ander 	FL	R	N00012739
Crowley	 Joseph	NY	D	N00001127
Crumpton	 Ron	AL	D	N00037156
Cruz	 Ted	None	R	N00033085
Cuellar	 Henry	TX	D	N00024978
Culberson	 John	TX	R	N00009738
Cullerton	 Tom	IL	D	N00037028
Cummings	 Elijah E	MD	D	N00001971
Cummings	 Ted	WA	I	N00036692
Curbelo	 Carlos	FL	R	N00035403
Daggett	 Doug	MN	R	N00036549
Davies	 Aaron	OK	I	N00036947
Davis	 Danny K	IL	D	N00004884
Davis	 Dereck	MD	D	N00037187
Davis	 Rodney	IL	R	N00034784
Davis	 Susan A	CA	D	N00009604
Dean	 Andre	TX	R	N00005930
DeFazio	 Peter	OR	D	N00007781
DeGette	 Diana	CO	D	N00006134
Del Beccaro	 Tom	CA	R	N00037231
Delaney	 John K	MD	D	N00033897
DeLauro	 Rosa L	CT	D	N00000615
DelBene	 Suzan	WA	D	N00030693
Denham	 Jeff	CA	R	N00031593
Dent	 Charlie	PA	R	N00026171
DeSantis	 Ron	FL	R	N00034746
Desaulnier	 Mark	CA	D	N00030709
Desjarlais	 Scott	TN	R	N00030957
Detzel	 Denis	IL	R	N00036934
Deutch	 Ted	FL	D	N00031317
Diaz-Balart	 Mario	FL	R	N00025337
Dingell	 Debbie	MI	D	N00036149
Doggett	 Lloyd	TX	D	N00006023
Dold	 Bob	IL	R	N00031103
Donovan	 Dan	NY	R	N00036928
Doyle	 Mike	PA	D	N00001373
Driskell	 Gretchen	MI	D	N00036938
Duckworth	 Tammy	IL	D	N00027860
Duffy	 Sean P	WI	R	N00030967
Duncan	 Jeff	SC	R	N00030752
Duncan	 Jim	NC	R	N00037165
Duncan	 John J Jr	TN	R	N00003209
Edwards	 Donna	MD	D	N00028249
Ehler	 Charles	CO	R	N00036920
Ellison	 Allen	FL	D	N00036527
Ellison	 Keith	MN	D	N00028257
Ellmers	 Renee	NC	R	N00031513
Emanuele	 James	NY	R	N00037234
Emmer	 Tom	MN	R	N00035440
Engel	 Eliot L	NY	D	N00001003
Eshoo	 Anna	CA	D	N00007335
Estrada	 John	CA	R	N00009226
Esty	 Elizabeth	CT	D	N00033217
Evans	 Mervin	CA	D	N00006700
Fareed	 Justin	CA	R	N00035705
Farenthold	 Blake	TX	R	N00031672
Farr	 Sam	CA	D	N00007312
Fattah	 Chaka	PA	D	N00001746
Feingold	 Russ	WI	D	N00000036
Fincher	 Steve	TN	R	N00031141
Fiorina	 Carly	None	R	N00031348
Fleischmann	 Chuck	TN	R	N00030815
Fleming	 John	LA	R	N00029679
Flores	 Bill	TX	R	N00031545
Flores	 Lucy	NV	D	N00037190
Flynn	 Michael	MI	R	N00036989
Flynn	 Mike	IL	R	N00037164
Forbes	 Randy	VA	R	N00013799
Fortenberry	 Jeff	NE	R	N00026631
Foster	 Bill	IL	D	N00029139
Foxx	 Virginia	NC	R	N00026166
Frankel	 Lois J	FL	D	N00002893
Franks	 Trent	AZ	R	N00006423
Freeman	 April	FL	D	N00035223
Frelinghuysen	 Rodney	NJ	R	N00000684
Fudge	 Marcia L	OH	D	N00030490
Gabbard	 Tulsi	HI	D	N00033281
Galdo	 Joseph F	VA	3	N00033934
Gallagher	 Mike	NY	D	N00037166
Gallego	 Ruben	AZ	D	N00036097
Galloway	 Pam	IN	R	N00037184
Gandolfo	 Angela Marie	NJ	D	N00035624
Garamendi	 John	CA	D	N00030856
Garrett	 Scott	NJ	R	N00000743
Gaskins	 Samuel Lewis	KY	D	N00036716
Gentile	 Vinnie	NY	D	N00037000
Gibbs	 Bob	OH	R	N00031128
Giles	 Dave	AZ	R	N00036982
Gill	 David	IL	I	N00026221
Glen	 Mark Dulaney	NC	R	N00028277
Glenn	 Darryl	CO	R	N00036919
Gohmert	 Louis B Jr	TX	R	N00026148
Gonzales	 Regino James	TX	R	N00036950
Goodlatte	 Bob	VA	R	N00009154
Gosar	 Paul	AZ	R	N00030771
Gottheimer	 Josh	NJ	D	N00036944
Gowdy	 Trey	SC	R	N00030880
Gradert	 Jamieson	NH	R	N00037050
Graham	 Gwen	FL	D	N00035688
Graham	 Lindsey	None	R	N00009975
Granger	 Kay	TX	R	N00008799
Grant	 Kevin	IN	R	N00036123
Grassley	 Chuck	IA	R	N00001758
Graves	 Garret	LA	R	N00036135
Graves	 Sam	MO	R	N00013323
Graves	 Tom	GA	R	N00030788
Grayson	 Alan	FL	D	N00028418
Grayson	 Derrick	GA	R	N00035476
Green	 Al	TX	D	N00026686
Green	 Gene	TX	D	N00005870
Gregory	 DuWayne	NY	D	N00037192
Griffith	 Morgan	VA	R	N00032029
Grijalva	 Raul M	AZ	D	N00025284
Grisham	 Michelle Lujan	NM	D	N00029400
Grothman	 Glenn S	WI	R	N00036409
Guinta	 Frank	NH	R	N00030801
Guthrie	 Brett	KY	R	N00029675
Gutierrez	 Luis V	IL	D	N00004874
Gutzeit	 Maria	CA	D	N00037176
Hagan	 Bob	OH	D	N00012485
Hall	 Isadore	CA	D	N00033277
Hanna	 Richard	NY	R	N00030197
Hardy	 Cresent	NV	R	N00035628
Harper	 Gregg	MS	R	N00029632
Harrington	 John IV	TX	R	N00037194
Harris	 Andy	MD	R	N00029147
Harris	 Kamala D	CA	D	N00036915
Hartzler	 Vicky	MO	R	N00031005
Hastings	 Alcee L	FL	D	N00002884
Heck	 Dennis	WA	D	N00031557
Heck	 Joe	NV	R	N00031244
Hensarling	 Jeb	TX	R	N00024922
Herrera Beutler	 Jaime	WA	R	N00031559
Hice	 Jody B	GA	R	N00032243
Higgins	 Brian M	NY	D	N00027060
Hill	 French	AR	R	N00035792
Himes	 Jim	CT	D	N00029070
Hinojosa	 Ruben	TX	D	N00006008
Hoeven	 John	ND	R	N00031688
Holcomb	 Eric	IN	R	N00037159
Holding	 George	NC	R	N00033399
Holliday	 Ed	MS	R	N00037044
Honda	 Mike	CA	D	N00012611
House	 Phillip	CA	D	N00036914
Howard	 Albert	CA	R	N00037002
Hoyer	 Steny H	MD	D	N00001821
Huckabee	 Mike	None	R	N00007539
Hudson	 Richard	NC	R	N00033630
Huelskamp	 Tim	KS	R	N00027649
Huffman	 Jared	CA	D	N00033030
Huizenga	 Bill	MI	R	N00030673
Hultgren	 Randy	IL	R	N00031104
Hunter	 Duncan D	CA	R	N00029258
Hurd	 Will	TX	R	N00031417
Hurt	 Robert	VA	R	N00031265
Isakson	 Johnny	GA	R	N00002593
Israel	 Steve	NY	D	N00013345
Issa	 Darrell	CA	R	N00007017
Ivey	 Glenn	MD	D	N00033749
Izzo	 Rose	DE	R	N00031603
Jackson Lee	 Sheila	TX	D	N00005818
Jacobson	 Oren	IL	D	N00037182
Jawando	 Will	MD	D	N00037037
Jeffries	 Hakeem	NY	D	N00033640
Jenkins	 Evan	WV	R	N00035531
Jenkins	 Lynn	KS	R	N00029077
Johnson	 Bill	OH	R	N00032088
Johnson	 Eddie Bernice	TX	D	N00008122
Johnson	 Hank	GA	D	N00027848
Johnson	 Ron	WI	R	N00032546
Johnson	 Sam	TX	R	N00008028
Jolly	 David	FL	R	N00035717
Jones	 Lateresa	FL	3	N00035791
Jones	 Starner	MS	R	N00036992
Jones	 Walter B Jr	NC	R	N00002299
Jordan	 Jim	OH	R	N00027894
Joyce	 David P	OH	R	N00035007
Kalemkarian	 Timothy Charles	CA	R	N00006887
Kander	 Jason	MO	D	N00036922
Kaptur	 Marcy	OH	D	N00003522
Katko	 John	NY	R	N00035934
Kaufman	 Joe	FL	R	N00033516
Keating	 Bill	MA	D	N00031933
Keith	 Pam	FL	D	N00036907
Kelly	 Mike	PA	R	N00031647
Kelly	 Robin	IL	D	N00035215
Kelly	 Trent	MS	R	N00037003
Kennedy	 Joe III	MA	D	N00034044
Keyes	 Alan	IL	R	N00001885
Khouri	 Tonia	IL	R	N00037029
Kiehne	 Gary	AZ	R	N00035555
Kildee	 Dan	MI	D	N00033395
Kilmer	 Derek	WA	D	N00034453
Kind	 Ron	WI	D	N00004403
King	 Pete	NY	R	N00001193
King	 Steven A	IA	R	N00025237
Kinlaw	 Michael	CO	R	N00037174
Kinzinger	 Adam	IL	R	N00030667
Kirk	 Mark	IL	R	N00012539
Kirkpatrick	 Ann	AZ	D	N00029260
Kline	 John	MN	R	N00004436
Knight	 Steve	CA	R	N00035820
Krause	 Bob	IA	D	N00004231
Krishnamoorthi	 Raja	IL	D	N00033240
Kroeger	 Gary	IA	D	N00037027
Kuster	 Ann Mclane	NH	D	N00030875
Laboy	 Zoe	PR	3	N00036949
Labrador	 Raul	ID	R	N00031377
LaHood	 Darin	IL	R	N00037031
LaMalfa	 Doug	CA	R	N00033987
Lamborn	 Douglas L	CO	R	N00028133
Lance	 Leonard	NJ	R	N00000898
Lane	 James	NY	3	N00036981
Langevin	 Jim	RI	D	N00009724
Lankford	 James	OK	R	N00031129
Larchuk	 Steve	PA	D	N00027088
Larose	 Josue	FL	D	N00030562
Larsen	 Rick	WA	D	N00009759
Larson	 John B	CT	D	N00000575
Latta	 Robert E	OH	R	N00012233
Lauren	 Robert	CA	R	N00029470
Law	 Alexander	NJ	D	N00036872
Law	 Phil	NC	R	N00036940
Lawrence	 Brenda	MI	D	N00034068
Lawrence	 Mary	MN	D	N00036939
Leahy	 Patrick	VT	D	N00009918
Lee	 Barbara	CA	D	N00008046
Lee	 Mike	UT	R	N00031696
Lee	 Susie	NV	D	N00037247
Levin	 Sander	MI	D	N00003950
Lewis	 John	GA	D	N00002577
Li	 Lindy	PA	D	N00037054
Lieber	 Arthur	MO	D	N00032290
Lieberman	 Richard	LA	D	N00035295
Lieu	 Ted	CA	D	N00035825
Lipinski	 Daniel	IL	D	N00027239
LoBiondo	 Frank A	NJ	R	N00000851
Loebsack	 David	IA	D	N00027741
Lofgren	 Zoe	CA	D	N00007479
Long	 Billy	MO	R	N00030676
Lopez	 Adam	IL	D	N00037033
Loudermilk	 Barry	GA	R	N00035347
Love	 Mia	UT	R	N00033842
Lowe	 Thuy	FL	R	N00035572
Lowenthal	 Alan	CA	D	N00033274
Lowey	 Nita M	NY	D	N00001024
Lucas	 Frank D	OK	R	N00005559
Luetkemeyer	 Blaine	MO	R	N00030026
Lujan	 Ben R	NM	D	N00029562
Lummis	 Cynthia Marie	WY	R	N00029788
Lynch	 Stephen F	MA	D	N00013855
MacArthur	 Thomas	NJ	R	N00036155
Maddux	 Robert	VA	D	N00037058
Maloney	 Carolyn B	NY	D	N00000078
Maloney	 Sean Patrick	NY	D	N00034277
Marchant	 Kenny	TX	R	N00026710
Marino	 Tom	PA	R	N00031777
Marshall	 Roger	KS	R	N00037034
Massie	 Thomas	KY	R	N00034041
Masto	 Catherine Cortez	NV	D	N00037161
Matsui	 Doris O	CA	D	N00027459
McCain	 John	AZ	R	N00006424
McCarthy	 Kevin	CA	R	N00028152
McCaul	 Michael	TX	R	N00026460
McClintock	 Tom	CA	R	N00006863
McCollum	 Betty	MN	D	N00012942
McCoy	 Dave	NC	D	N00036854
McDermott	 Jim	WA	D	N00009829
McFall	 Jerald	NM	R	N00037051
McGovern	 James P	MA	D	N00000179
McHenry	 Patrick	NC	R	N00026627
McKinlay	 Melissa	FL	D	N00037180
McKinley	 David	WV	R	N00031681
McMorris Rodgers	 Cathy	WA	R	N00026314
McNerney	 Jerry	CA	D	N00026926
